Unnamed,Quantidade (g/ml),Nome do alimento,Kcal,CHO,PTN,LIP,Origem da PTN,Tipo,Info Adicional,Autor
48.0,100.0,Quinoa cozida,120.0,21.3,4.4,1.9,Vegetal,TACO - CARB-38,,
49.0,100.0,Aveia em flocos,394.0,66.6,13.9,8.5,Vegetal,TACO - CARB-39,,
50.0,100.0,Polenta cozida,59.0,13.9,1.4,0.2,Vegetal,TACO - CARB-40,,
13.0,100.0,Carne bovina cozida,219.0,0.0,26.4,12.0,Animal,TACO - PROT-13,,
14.0,100.0,Frango grelhado,187.0,0.0,28.0,7.6,Animal,TACO - PROT-14,,
15.0,100.0,Peixe assado,147.0,0.0,26.6,3.9,Animal,TACO - PROT-15,,
16.0,100.0,Ovo de galinha cozido,146.0,0.8,13.3,9.5,Animal,TACO - PROT-16,,
17.0,100.0,Clara de ovo cozida,59.0,0.7,12.4,0.1,Animal,TACO - PROT-17,,
18.0,100.0,Gema de ovo cozida,352.0,1.2,15.9,30.6,Animal,TACO - PROT-18,,
19.0,100.0,Atum enlatado em água,126.0,0.0,25.7,1.2,Animal,TACO - PROT-19,,
20.0,100.0,Sardinha enlatada,164.0,0.0,24.1,7.5,Animal,TACO - PROT-20,,
21.0,100.0,Carne suína assada,262.0,0.0,26.8,16.6,Animal,TACO - PROT-21,,
22.0,100.0,Peito de peru,93.0,0.0,20.0,1.0,Animal,TACO - PROT-22,,
23.0,100.0,Queijo minas frescal,264.0,3.2,17.4,20.5,Animal,TACO - PROT-23,,
24.0,100.0,Queijo cottage,98.0,3.2,12.4,4.3,Animal,TACO - PROT-24,,
25.0,100.0,Iogurte natural,51.0,4.0,4.1,2.8,Animal,TACO - PROT-25,,
26.0,100.0,Leite integral,61.0,4.8,3.3,3.2,Animal,TACO - PROT-26,,
27.0,100.0,Leite desnatado,36.0,5.1,3.3,0.2,Animal,TACO - PROT-27,,
28.0,100.0,Tofu,64.0,2.1,6.6,3.9,Vegetal,TACO - PROT-28,,
29.0,100.0,Soja cozida,139.0,11.0,12.5,6.4,Vegetal,TACO - PROT-29,,
11.0,100.0,Abacate,96.0,6.0,1.2,8.4,Vegetal,TACO - LIP-11,,
12.0,100.0,Coco cru,406.0,10.4,3.7,42.0,Vegetal,TACO - LIP-12,,
13.0,100.0,Amendoim torrado,606.0,18.7,22.5,54.0,Vegetal,TACO - LIP-13,,
14.0,100.0,Castanha-do-pará,643.0,15.1,14.5,63.5,Vegetal,TACO - LIP-14,,
15.0,100.0,Amêndoa,581.0,21.6,21.1,47.3,Vegetal,TACO - LIP-15,,
16.0,100.0,Nozes,620.0,18.4,14.0,59.4,Vegetal,TACO - LIP-16,,
17.0,100.0,Azeite de oliva,884.0,0.0,0.0,100.0,Vegetal,TACO - LIP-17,,
18.0,100.0,Óleo de soja,884.0,0.0,0.0,100.0,Vegetal,TACO - LIP-18,,
19.0,100.0,Manteiga com sal,726.0,0.1,0.4,82.0,Animal,TACO - LIP-19,,
20.0,100.0,Creme de leite,221.0,4.5,1.9,21.9,Animal,TACO - LIP-20,,
61.0,100.0,Alface crespa,11.0,2.1,1.3,0.2,Vegetal,TACO - VEG-1,,
62.0,100.0,Couve manteiga,27.0,4.3,2.9,0.5,Vegetal,TACO - VEG-2,,
63.0,100.0,Espinafre cru,16.0,2.6,2.0,0.2,Vegetal,TACO - VEG-3,,
64.0,100.0,Brócolis cozido,25.0,4.4,2.1,0.5,Vegetal,TACO - VEG-4,,
65.0,100.0,Cenoura crua,34.0,7.7,1.3,0.2,Vegetal,TACO - VEG-5,,
66.0,100.0,Tomate cru,15.0,3.1,1.1,0.2,Vegetal,TACO - VEG-6,,
67.0,100.0,Pepino cru,10.0,2.0,0.9,0.1,Vegetal,TACO - VEG-7,,
68.0,100.0,Abobrinha cozida,15.0,3.4,1.1,0.2,Vegetal,TACO - VEG-8,,
69.0,100.0,Beringela cozida,19.0,4.5,1.2,0.1,Vegetal,TACO - VEG-9,,
70.0,100.0,Pimentão verde,21.0,4.9,1.1,0.2,Vegetal,TACO - VEG-10,,
71.0,100.0,Cebola crua,39.0,8.9,1.7,0.1,Vegetal,TACO - VEG-11,,
72.0,100.0,Alho,113.0,23.9,7.0,0.2,Vegetal,TACO - VEG-12,,
73.0,100.0,Beterraba cozida,32.0,7.2,1.3,0.1,Vegetal,TACO - VEG-13,,
74.0,100.0,Chuchu cozido,20.0,4.8,0.7,0.1,Vegetal,TACO - VEG-14,,
75.0,100.0,Abóbora cozida,48.0,10.8,1.4,0.7,Vegetal,TACO - VEG-15,,
76.0,100.0,Queijo prato,360.0,1.9,22.7,29.0,Animal,TACO - LATIC-1,,
77.0,100.0,Queijo mussarela,330.0,2.0,22.6,25.2,Animal,TACO - LATIC-2,,
78.0,100.0,Queijo parmesão,453.0,1.7,35.5,33.5,Animal,TACO - LATIC-3,,
79.0,100.0,Requeijão cremoso,257.0,2.6,9.6,23.0,Animal,TACO - LATIC-4,,
80.0,100.0,Iogurte natural,51.0,4.0,4.1,2.8,Animal,TACO - LATIC-5,,
81.0,100.0,Leite em pó integral,497.0,38.4,25.4,27.0,Animal,TACO - LATIC-6,,
82.0,100.0,Coalhada seca,321.0,3.5,46.0,14.0,Animal,TACO - LATIC-7,,
